price,product,supermarket,link,name
2.39,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Koipesol 1 l
2.49,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol fritos Koipe 1 l
1.63,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Carrefour garrafa 5 l
1.75,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Carrefour 1 l
2.38,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Koipesol garrafa 5 l
12.47,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite refinado de girasol Koipe spray 150 ml
1.68,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Fontasol 5 l
2.06,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Capicua garrafa 5 l
2.09,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Aceite de girasol Fontasol 1 l
9.58,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol pack de 6 latas de 52 g
8.08,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol 650 g
9.96,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol 260 g
8.46,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol Carrefour pack de 2 unidades de 65 g
23.09,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Anchoas en aceite de girasol Caprimar 55 g
9.29,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol con limón Carrefour pack de 2 unidades de 63 g
13.41,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinas en aceite de girasol Carrefour pack de 2 latas de 88 g
15.97,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol Cabo de Peñas 62 g
10.91,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol 143 g
17.67,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol picantes Cabo de Peñas 60 g
11.1,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol 73 g
13.77,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol Albo lata de 650 g
6.9,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinas en aceite de girasol Carrefour 535 g
11.43,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol sabor ahumado Carrefour pack de 2 unidades de 65 g
19.5,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Sardinillas en aceite de girasol al limón Cabo de Peñas 60 g
14.74,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún en aceite de girasol Calvo pack de 6 latas de 52 g
2.47,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Mayonesa con aceite de girasol Carrefour envase 380 g
2.2,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Mayonesa con aceite de girasol Carrefour tarro 450 ml
8.0,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Paté de atún con aceite de girasol Carrefour pack de 3 unidades de 80 g
4.3,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Patatas fritas churrería en aceite de girasol Carrefour pack de 2 bolsas de 150 g
9.74,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Atún claro en aceite de girasol Carrefour pack de 8 latas de 52 g
